file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
115416850.png,30.0,0.96236205,753,133,1000,133,1000,357,753,357
072544230.png,13.0,0.97215366,986,98,1234,98,1234,322,986,322
102644167.png,33.0,0.96152514,728,242,976,242,976,508,728,508
140135756.png,0.0,0.9758581,431,418,698,418,698,675,431,675
102454243.png,17.0,0.9814486,701,113,976,113,976,419,701,419
122906435.png,31.0,0.9746429,458,440,721,440,721,710,458,710
122906435.png,17.0,0.8660291,951,599,1265,599,1265,946,951,946
122906435.png,27.0,0.7867286,951,600,1266,600,1266,946,951,946
155049701.png,12.0,0.80437684,788,266,1048,266,1048,513,788,513
155049701.png,15.0,0.78893703,1064,0,1328,0,1328,234,1064,234
163157229.png,13.0,0.9287887,1402,658,1700,658,1700,930,1402,930
163157229.png,12.0,0.9109726,816,219,1067,219,1067,453,816,453
144927812.png,18.0,0.97569555,763,140,1010,140,1010,372,763,372
155011022.png,1.0,0.87007844,1178,306,1453,306,1453,561,1178,561
155011022.png,20.0,0.8272426,1177,306,1454,306,1454,562,1177,562
145909176.png,5.0,0.95195407,738,46,988,46,988,279,738,279
075628479.png,27.0,0.976072,724,89,968,89,968,355,724,355
161056915.png,27.0,0.9708774,718,32,957,32,957,293,718,293
102038264.png,30.0,0.97681105,766,123,1008,123,1008,347,766,347
161528483.png,5.0,0.96310234,445,404,705,404,705,666,445,666
105327040.png,5.0,0.97458535,1114,150,1383,150,1383,390,1114,390
113836873.png,17.0,0.9827807,801,143,1077,143,1077,455,801,455
111729218.png,11.0,0.9711717,1262,241,1558,241,1558,583,1262,583
081102423.png,12.0,0.9641414,1053,37,1297,37,1297,255,1053,255
100412466.png,23.0,0.9742803,906,482,1146,482,1146,743,906,743
103519543.png,3.0,0.9680141,1111,149,1367,149,1367,417,1111,417
095007510.png,11.0,0.97647285,1147,205,1436,205,1436,544,1147,544
164028410.png,13.0,0.96496207,493,684,774,684,774,949,493,949
114255334.png,14.0,0.9686007,729,221,986,221,986,455,729,455
113939208.png,1.0,0.97747904,749,90,996,90,996,318,749,318
073557960.png,12.0,0.9795266,1217,328,1486,328,1486,570,1217,570
073557960.png,24.0,0.9293398,813,283,1066,283,1066,625,813,625
113523556.png,13.0,0.97438014,500,592,773,592,773,853,500,853
113523556.png,11.0,0.8417441,872,293,1110,293,1110,553,872,553
112605248.png,28.0,0.9585037,1149,178,1415,178,1415,448,1149,448
143743338.png,4.0,0.9357736,466,415,695,415,695,661,466,661
170121585.png,30.0,0.9261215,654,63,893,63,893,287,654,287
170121585.png,2.0,0.8792386,830,372,1083,372,1083,648,830,648
083637283.png,16.0,0.98221695,1116,181,1405,181,1405,487,1116,487
080741885.png,19.0,0.9503729,1061,67,1318,67,1318,292,1061,292
181136519.png,32.0,0.9687046,402,455,675,455,675,742,402,742
171036562.png,32.0,0.93223554,408,319,662,319,662,596,408,596
095021431.png,33.0,0.81317496,852,65,1078,65,1078,318,852,318
095021431.png,7.0,0.73939157,852,65,1079,65,1079,317,852,317
093718099.png,33.0,0.95967627,1101,77,1353,77,1353,342,1101,342
090527490.png,16.0,0.9813137,402,418,687,418,687,747,402,747
084745958.png,31.0,0.97926956,1120,170,1382,170,1382,419,1120,419
114418578.png,29.0,0.9756384,792,150,1032,150,1032,397,792,397
103449346.png,11.0,0.9772627,1190,177,1478,177,1478,511,1190,511
133931845.png,22.0,0.9069933,1228,229,1462,229,1462,470,1228,470
133931845.png,27.0,0.73856133,1228,230,1462,230,1462,471,1228,471
090003275.png,25.0,0.970333,739,139,1004,139,1004,425,739,425
122328696.png,25.0,0.97933733,805,171,1069,171,1069,462,805,462
130854956.png,1.0,0.8948284,936,616,1213,616,1213,882,936,882
091422941.png,23.0,0.9790125,840,647,1098,647,1098,918,840,918
142535542.png,15.0,0.8751943,705,24,960,24,960,260,705,260
102249185.png,32.0,0.9629426,1148,106,1400,106,1400,357,1148,357
100839968.png,1.0,0.9363686,1371,745,1669,745,1669,1019,1371,1019
100839968.png,8.0,0.8873965,1370,745,1670,745,1670,1018,1370,1018
140216990.png,28.0,0.9745632,717,20,961,20,961,274,717,274
130450588.png,1.0,0.97642934,1143,99,1399,99,1399,325,1143,325
124549985.png,29.0,0.97808504,774,65,1007,65,1007,303,774,303
072624272.png,23.0,0.96309614,839,471,1080,471,1080,728,839,728
114503084.png,29.0,0.97589886,779,86,1012,86,1012,328,779,328
114503084.png,15.0,0.9662191,1420,691,1733,691,1733,975,1420,975
114503084.png,27.0,0.95580107,1103,42,1374,42,1374,302,1103,302
071044472.png,4.0,0.972049,1159,255,1417,255,1417,535,1159,535
150849553.png,21.0,0.9790487,428,210,701,210,701,521,428,521
103121339.png,21.0,0.94165087,1169,215,1451,215,1451,528,1169,528
115252408.png,33.0,0.9559381,797,192,1045,192,1045,453,797,453
115252408.png,27.0,0.7508685,1286,375,1505,375,1505,625,1286,625
115252408.png,33.0,0.7110327,1289,374,1507,374,1507,625,1289,625
133633626.png,22.0,0.9615686,853,370,1083,370,1083,613,853,613
164714921.png,5.0,0.8809023,496,635,777,635,777,916,496,916
125041122.png,1.0,0.84820807,1357,594,1658,594,1658,856,1357,856
112151595.png,24.0,0.96418667,426,225,655,225,655,505,426,505
165646286.png,15.0,0.90989333,871,539,1147,539,1147,801,871,801
072655405.png,27.0,0.9806886,461,589,733,589,733,894,461,894
143550460.png,15.0,0.96986693,735,22,980,22,980,238,735,238
132929363.png,13.0,0.96627563,1230,305,1508,305,1508,552,1230,552
131828533.png,11.0,0.95889914,487,465,708,465,708,717,487,717
094418692.png,12.0,0.9777573,1058,63,1305,63,1305,284,1058,284
105121678.png,24.0,0.9771294,462,400,705,400,705,696,462,696
142953181.png,29.0,0.97496176,1104,0,1340,0,1340,222,1104,222
142953181.png,12.0,0.94900185,1452,789,1767,789,1767,1080,1452,1080
075156208.png,2.0,0.8790445,1128,150,1354,150,1354,381,1128,381
103949376.png,22.0,0.9626147,456,489,714,489,714,781,456,781
103949376.png,4.0,0.84749156,819,186,1044,186,1044,415,819,415
172418145.png,15.0,0.9779482,1138,325,1418,325,1418,570,1138,570
172418145.png,7.0,0.9492502,735,213,994,213,994,506,735,506
094553742.png,8.0,0.96844506,420,433,676,433,676,678,420,678
094553742.png,12.0,0.9133304,1120,218,1387,218,1387,464,1120,464
181226913.png,32.0,0.9734658,399,592,678,592,678,901,399,901
104708327.png,11.0,0.97442424,841,316,1129,316,1129,674,841,674
121357819.png,31.0,0.97407734,1121,116,1374,116,1374,359,1121,359
121357819.png,11.0,0.9172711,1050,825,1293,825,1293,1080,1050,1080
123034372.png,22.0,0.9775954,756,126,975,126,975,359,756,359
174606000.png,31.0,0.85179055,416,542,688,542,688,805,416,805
174606000.png,17.0,0.74537736,1423,752,1741,752,1741,1080,1423,1080
140935641.png,17.0,0.97813076,732,15,998,15,998,311,732,311
134036605.png,7.0,0.9733883,1108,34,1380,34,1380,313,1108,313
140821674.png,32.0,0.9515561,1079,27,1334,27,1334,286,1079,286
082903907.png,18.0,0.9773037,420,479,684,479,684,740,420,740
112402757.png,33.0,0.86944574,701,114,945,114,945,361,701,361
134635322.png,14.0,0.9332303,1103,229,1355,229,1355,472,1103,472
134635322.png,13.0,0.73951614,1104,229,1356,229,1356,472,1104,472
135301949.png,15.0,0.9672551,767,98,1017,98,1017,324,767,324
101516012.png,6.0,0.974037,869,533,1143,533,1143,783,869,783
095905401.png,8.0,0.9442792,919,692,1201,692,1201,953,919,953
143713897.png,19.0,0.938679,716,0,963,0,963,222,716,222
143713897.png,15.0,0.84769547,716,0,963,0,963,222,716,222
124143180.png,17.0,0.9764449,765,116,1025,116,1025,405,765,405
091611858.png,1.0,0.8467805,1113,167,1363,167,1363,391,1113,391
105534179.png,11.0,0.7405518,263,0,512,0,512,162,263,162
105534179.png,31.0,0.7009384,709,101,949,101,949,321,709,321
104428031.png,11.0,0.9802868,1266,324,1569,324,1569,683,1266,683
134457909.png,24.0,0.92194086,803,90,1024,90,1024,358,803,358
134457909.png,17.0,0.824679,1035,607,1298,607,1298,916,1035,916
134457909.png,17.0,0.7025601,803,89,1025,89,1025,355,803,355
134722310.png,6.0,0.97265786,1343,470,1646,470,1646,734,1343,734
151737214.png,23.0,0.9771072,943,585,1193,585,1193,852,943,852
115222410.png,17.0,0.98650765,770,219,1056,219,1056,540,770,540
162908695.png,17.0,0.9072938,1367,618,1698,618,1698,939,1367,939
162908695.png,5.0,0.89472824,435,389,694,389,694,680,435,680
162908695.png,15.0,0.78893477,1370,618,1695,618,1695,913,1370,913
084532777.png,24.0,0.9783633,1183,251,1429,251,1429,535,1183,535
083925766.png,26.0,0.79272014,761,202,1031,202,1031,490,761,490
083925766.png,7.0,0.78079045,761,203,1031,203,1031,490,761,490
170354561.png,15.0,0.93695825,686,19,926,19,926,245,686,245
081717116.png,1.0,0.97825295,1289,537,1581,537,1581,796,1289,796
121524244.png,17.0,0.9829625,735,42,1006,42,1006,338,735,338
130529232.png,5.0,0.96992123,583,121,828,121,828,359,583,359
113619323.png,4.0,0.93628216,792,230,1018,230,1018,465,792,465
113619323.png,24.0,0.7706546,512,737,790,737,790,1071,512,1071
123256941.png,32.0,0.86335516,1174,984,1503,984,1503,1080,1174,1080
104447351.png,23.0,0.9763109,1140,238,1372,238,1372,474,1140,474
104447351.png,11.0,0.9267735,758,295,1006,295,1006,587,758,587
130857691.png,7.0,0.93982506,705,100,961,100,961,342,705,342
142635167.png,10.0,0.82990724,1125,70,1385,70,1385,296,1125,296
155618066.png,20.0,0.91148746,471,470,742,470,742,736,471,736
082022893.png,27.0,0.9708316,1104,118,1355,118,1355,386,1104,386
130452623.png,25.0,0.98025984,930,475,1217,475,1217,793,930,793
082653535.png,29.0,0.9697267,1270,422,1544,422,1544,699,1270,699
082653535.png,7.0,0.9327663,800,252,1027,252,1027,492,800,492
093337114.png,31.0,0.97690445,730,171,979,171,979,421,730,421
071916416.png,4.0,0.97482353,821,413,1087,413,1087,707,821,707
082323720.png,16.0,0.9840475,1137,204,1428,204,1428,512,1137,512
121602183.png,17.0,0.93256754,826,225,1114,225,1114,541,826,541
133323425.png,23.0,0.9775475,495,667,744,667,744,936,495,936
112915101.png,19.0,0.9521331,781,157,1038,157,1038,390,781,390
165647853.png,13.0,0.81351763,923,664,1209,664,1209,930,923,930
090202988.png,24.0,0.97481775,1052,50,1279,50,1279,313,1052,313
122013813.png,6.0,0.9702214,1322,488,1629,488,1629,755,1322,755
134225601.png,11.0,0.80253166,1114,785,1385,785,1385,1080,1114,1080
174115388.png,17.0,0.89113134,672,23,907,23,907,251,672,251
080928385.png,33.0,0.97659886,748,118,992,118,992,374,748,374
173541029.png,6.0,0.8687894,490,676,771,676,771,958,490,958
071332675.png,16.0,0.9838054,1199,247,1499,247,1499,567,1199,567
115623456.png,31.0,0.9733508,749,222,1005,222,1005,478,749,478
080420213.png,22.0,0.9674588,755,328,984,328,984,574,755,574
094209155.png,22.0,0.90561986,1188,328,1426,328,1426,583,1188,583
112604940.png,32.0,0.97050023,1063,70,1316,70,1316,324,1063,324
180921840.png,1.0,0.9606329,454,757,743,757,743,1045,454,1045
130718122.png,7.0,0.97866565,1146,110,1425,110,1425,395,1146,395
081008531.png,21.0,0.9880244,1219,351,1512,351,1512,679,1219,679
095904783.png,23.0,0.9780164,448,420,682,420,682,672,448,672
182041115.png,3.0,0.8696413,1087,79,1335,79,1335,321,1087,321
182041115.png,27.0,0.7149259,1085,32,1334,32,1334,337,1085,337
174214711.png,18.0,0.97725874,869,509,1146,509,1146,770,869,770
144004964.png,31.0,0.967694,749,48,989,48,989,274,749,274
091659641.png,21.0,0.98121786,414,354,696,354,696,680,414,680
114154841.png,7.0,0.919048,846,457,1135,457,1135,773,846,773
114154841.png,17.0,0.9027041,845,456,1135,456,1135,775,845,775
164120380.png,17.0,0.8245351,695,63,935,63,935,294,695,294
164120380.png,11.0,0.72178036,412,438,662,438,662,696,412,696
155657540.png,29.0,0.9784967,374,182,614,182,614,432,374,432
132819361.png,6.0,0.9627492,1268,362,1542,362,1542,609,1268,609
160550740.png,22.0,0.95443916,855,377,1123,377,1123,675,855,675
114122513.png,17.0,0.92051864,1117,119,1401,119,1401,416,1117,416
111443286.png,1.0,0.9743619,968,631,1260,631,1260,893,968,893
112108054.png,6.0,0.9675793,1158,118,1427,118,1427,351,1158,351
134916410.png,6.0,0.97358274,1269,388,1558,388,1558,643,1269,643
144419547.png,22.0,0.9772107,939,189,1150,189,1150,425,939,425
134941387.png,5.0,0.970786,1224,275,1504,275,1504,531,1224,531
154654954.png,13.0,0.9671736,804,236,1055,236,1055,475,804,475
134652678.png,17.0,0.98375803,759,47,1036,47,1036,343,759,343
074454073.png,13.0,0.96286035,761,146,1009,146,1009,382,761,382
154553295.png,6.0,0.94843435,913,525,1196,525,1196,792,913,792
170359923.png,31.0,0.78265905,411,235,579,235,579,472,411,472
170359923.png,11.0,0.74499255,338,237,579,237,579,477,338,477
094045419.png,4.0,0.9759162,1103,69,1350,69,1350,326,1103,326
083835431.png,17.0,0.9765079,1120,121,1394,121,1394,406,1120,406
090212259.png,4.0,0.9697639,970,147,1211,147,1211,414,970,414
132409224.png,1.0,0.9717943,783,137,1035,137,1035,362,783,362
134444501.png,31.0,0.9728874,822,349,1086,349,1086,611,822,611
134444501.png,33.0,0.76646525,1223,156,1432,156,1432,439,1223,439
115329612.png,21.0,0.98247004,1210,225,1494,225,1494,534,1210,534
095430742.png,11.0,0.9755754,489,284,766,284,766,633,489,633
101721799.png,27.0,0.9819016,1005,753,1293,753,1293,1080,1005,1080
120756525.png,5.0,0.97882473,927,639,1221,639,1221,915,927,915
120756525.png,31.0,0.8184683,809,157,1046,157,1046,413,809,413
120756525.png,11.0,0.75887114,628,945,1029,945,1029,1080,628,1080
141115877.png,9.0,0.9589865,1208,253,1471,253,1471,485,1208,485
123503977.png,23.0,0.9629299,455,183,671,183,671,421,455,421
150234113.png,27.0,0.97445834,742,49,981,49,981,306,742,306
122034781.png,17.0,0.98479456,1177,140,1467,140,1467,449,1177,449
132531202.png,30.0,0.9771643,702,78,946,78,946,305,702,305
161956093.png,27.0,0.9671532,764,101,1006,101,1006,361,764,361
112928018.png,17.0,0.981902,1091,23,1372,23,1372,318,1091,318
112928018.png,22.0,0.91852623,937,444,1158,444,1158,715,937,715
084433132.png,23.0,0.9793336,872,683,1128,683,1128,952,872,952
084433132.png,11.0,0.79640675,1478,766,1755,766,1755,1080,1478,1080
124505024.png,7.0,0.73086745,783,122,1002,122,1002,349,783,349
150914188.png,31.0,0.8685919,440,428,694,428,694,677,440,677
133520241.png,22.0,0.966335,1275,306,1511,306,1511,550,1275,550
133520241.png,11.0,0.8440127,370,204,606,204,606,479,370,479
130917787.png,5.0,0.9621102,753,131,1012,131,1012,372,753,372
130917787.png,15.0,0.859206,753,130,1011,130,1011,372,753,372
130006746.png,31.0,0.97437423,1190,152,1447,152,1447,394,1190,394
154238954.png,15.0,0.97571033,755,98,1010,98,1010,321,755,321
161855284.png,5.0,0.9536734,1306,435,1587,435,1587,688,1306,688
175417899.png,27.0,0.9756162,1061,8,1297,8,1297,262,1061,262
175417899.png,5.0,0.8713261,1178,247,1441,247,1441,484,1178,484
175417899.png,4.0,0.74361646,1354,604,1630,604,1630,893,1354,893
113233975.png,22.0,0.9673391,1220,300,1487,300,1487,570,1220,570
113233975.png,3.0,0.9452708,789,64,1030,64,1030,316,789,316
104904391.png,31.0,0.97595257,527,612,799,612,799,893,527,893
163623104.png,32.0,0.81780916,758,91,1008,91,1008,329,758,329
084916124.png,12.0,0.9678092,695,82,937,82,937,306,695,306
151836795.png,7.0,0.95713425,461,359,726,359,726,654,461,654
151836795.png,15.0,0.955116,1235,273,1512,273,1512,512,1235,512
093334197.png,17.0,0.89883447,1054,131,1321,131,1321,408,1054,408
091823403.png,4.0,0.96464854,807,316,1058,316,1058,587,807,587
123634975.png,25.0,0.94644487,775,90,1033,90,1033,366,775,366
143513017.png,8.0,0.94780344,459,353,707,353,707,594,459,594
151134815.png,10.0,0.916981,478,575,758,575,758,842,478,842
120307823.png,32.0,0.7045801,814,254,1043,254,1043,497,814,497
113917389.png,1.0,0.97847486,712,133,963,133,963,366,712,366
131702553.png,31.0,0.95466447,1165,111,1420,111,1420,357,1165,357
112945231.png,24.0,0.9760083,641,138,861,138,861,409,641,409
092834210.png,18.0,0.9693382,1109,129,1366,129,1366,361,1109,361
102830700.png,29.0,0.9803945,372,216,610,216,610,471,372,471
152123129.png,2.0,0.9639607,820,320,1052,320,1052,569,820,569
114150894.png,16.0,0.91469276,781,131,1054,131,1054,431,781,431
114150894.png,11.0,0.85117984,780,130,1053,130,1053,430,780,430
084556757.png,12.0,0.9532922,694,0,935,0,935,223,694,223
125414796.png,20.0,0.9518989,947,614,1237,614,1237,888,947,888
141759072.png,7.0,0.9551919,1163,100,1444,100,1444,381,1163,381
181448652.png,10.0,0.95422876,1366,669,1673,669,1673,947,1366,947
144850101.png,31.0,0.954388,712,106,961,106,961,348,712,348
084438519.png,8.0,0.980166,922,790,1206,790,1206,1063,922,1063
142056019.png,6.0,0.97394854,1375,604,1690,604,1690,881,1375,881
142056019.png,27.0,0.7717897,928,514,1196,514,1196,807,928,807
130145963.png,17.0,0.98364985,791,85,1068,85,1068,391,791,391
075542276.png,13.0,0.9785035,1361,599,1654,599,1654,866,1361,866
162206423.png,7.0,0.83933425,748,179,1009,179,1009,441,748,441
162206423.png,17.0,0.7081363,728,231,1007,231,1007,475,728,475
104400088.png,29.0,0.97030365,1064,104,1311,104,1311,349,1064,349
104400088.png,24.0,0.8523276,942,663,1218,663,1218,981,942,981
160112367.png,17.0,0.90990305,733,9,977,9,977,265,733,265
160112367.png,11.0,0.7580813,1433,684,1742,684,1742,1016,1433,1016
135715720.png,6.0,0.80946594,726,28,968,28,968,247,726,247
080814286.png,13.0,0.9768225,1170,245,1430,245,1430,485,1170,485
162357299.png,11.0,0.9775603,984,618,1213,618,1213,928,984,928
162357299.png,27.0,0.8274143,628,0,945,0,945,189,628,189
162357299.png,31.0,0.76824933,823,398,1086,398,1086,644,823,644
124253285.png,7.0,0.9607212,1240,361,1535,361,1535,679,1240,679
124253285.png,17.0,0.9483848,1239,360,1534,360,1534,679,1239,679
112826760.png,5.0,0.9556707,873,403,1149,403,1149,659,873,659
112826760.png,6.0,0.81184655,874,402,1149,402,1149,659,874,659
115701617.png,11.0,0.9796966,758,65,1029,65,1029,377,758,377
100955579.png,31.0,0.8809431,354,226,602,226,602,467,354,467
100955579.png,12.0,0.8168013,354,227,602,227,602,467,354,467
174202055.png,27.0,0.9741743,413,390,662,390,662,667,413,667
174202055.png,5.0,0.96834624,1156,224,1427,224,1427,472,1156,472
174202055.png,7.0,0.93270904,291,150,539,150,539,400,291,400
112932801.png,25.0,0.9801486,1322,437,1619,437,1619,751,1322,751
112932801.png,5.0,0.8721768,1031,0,1279,0,1279,143,1031,143
123112633.png,13.0,0.73227674,1182,276,1446,276,1446,511,1182,511
141956471.png,25.0,0.9725418,958,612,1255,612,1255,947,958,947
141956471.png,17.0,0.73438877,959,613,1255,613,1255,946,959,946
152933075.png,17.0,0.9565861,757,85,1014,85,1014,365,757,365
111550116.png,17.0,0.9837114,734,63,1006,63,1006,365,734,365
135406527.png,0.0,0.74605143,461,224,675,224,675,458,461,458
132106590.png,17.0,0.9638263,1206,234,1488,234,1488,535,1206,535
095937538.png,12.0,0.9675115,387,241,631,241,631,477,387,477
122308971.png,3.0,0.96748066,1358,523,1646,523,1646,818,1358,818
160715684.png,31.0,0.9074274,748,160,997,160,997,407,748,407
160715684.png,31.0,0.8608814,367,234,608,234,608,488,367,488
151136681.png,28.0,0.8378896,1199,216,1462,216,1462,487,1199,487
102947977.png,31.0,0.90728956,910,486,1152,486,1152,739,910,739
102947977.png,29.0,0.7061958,909,486,1152,486,1152,740,909,740
133126765.png,22.0,0.7946809,1085,158,1309,158,1309,390,1085,390
113114704.png,29.0,0.9737558,721,39,948,39,948,276,721,276
143551499.png,10.0,0.9699737,1189,178,1455,178,1455,408,1189,408
082255901.png,33.0,0.9544385,763,150,1011,150,1011,427,763,427
133859703.png,6.0,0.9787684,1306,431,1592,431,1592,688,1306,688
133859703.png,15.0,0.930661,701,0,950,0,950,165,701,165
133859703.png,17.0,0.7035503,700,0,951,0,951,165,700,165
143009348.png,11.0,0.7067768,1155,43,1505,43,1505,429,1155,429
095220630.png,33.0,0.9719383,761,239,1013,239,1013,508,761,508
132947532.png,1.0,0.8657447,807,86,1055,86,1055,324,807,324
121142378.png,11.0,0.96815276,803,227,1084,227,1084,537,803,537
144327400.png,12.0,0.8402482,348,171,588,171,588,401,348,401
183559602.png,32.0,0.9573228,1070,0,1320,0,1320,233,1070,233
183559602.png,17.0,0.7057941,345,410,635,410,635,727,345,727
122938533.png,6.0,0.9756257,758,86,1016,86,1016,318,758,318
165948133.png,12.0,0.8868496,1201,284,1470,284,1470,534,1201,534
165948133.png,27.0,0.8426197,686,86,1009,86,1009,438,686,438
165948133.png,20.0,0.8280367,1202,284,1470,284,1470,533,1202,533
074556395.png,24.0,0.977786,433,428,674,428,674,722,433,722
164130701.png,31.0,0.9662755,772,179,1024,179,1024,417,772,417
152725961.png,13.0,0.94800556,711,46,950,46,950,274,711,274
102313196.png,27.0,0.97179854,1079,105,1327,105,1327,370,1079,370
140721854.png,3.0,0.91631466,1028,72,1276,72,1276,321,1028,321
140721854.png,32.0,0.8987705,1028,72,1276,72,1276,320,1028,320
140030257.png,5.0,0.7800362,1085,0,1333,0,1333,223,1085,223
105803506.png,18.0,0.96156585,895,377,1165,377,1165,626,895,626
120844143.png,17.0,0.9840635,1096,93,1376,93,1376,401,1096,401
145614511.png,32.0,0.90521896,1234,374,1507,374,1507,662,1234,662
145614511.png,11.0,0.71122503,1020,721,1377,721,1377,1080,1020,1080
123524379.png,30.0,0.97923446,718,43,958,43,958,269,718,269
141127767.png,17.0,0.9837838,1089,0,1366,0,1366,290,1089,290
105615899.png,7.0,0.97174466,1340,568,1647,568,1647,894,1340,894
133105963.png,8.0,0.9721361,1012,615,1289,615,1289,873,1012,873
155033361.png,20.0,0.96184546,1204,265,1476,265,1476,515,1204,515
155033361.png,27.0,0.7594633,908,440,1171,440,1171,712,908,712
121803872.png,27.0,0.97912425,759,41,998,41,998,300,759,300
160357671.png,15.0,0.74624974,711,44,958,44,958,274,711,274
154916991.png,27.0,0.97794,697,38,934,38,934,299,697,299
154916991.png,0.0,0.94109094,1505,788,1823,788,1823,1080,1505,1080
160353982.png,28.0,0.96686393,450,508,723,508,723,802,450,802
133000600.png,15.0,0.9357061,955,645,1245,645,1245,908,955,908
113912327.png,33.0,0.9523811,876,478,1144,478,1144,762,876,762
113912327.png,29.0,0.8798657,877,479,1144,479,1144,758,877,758
181727685.png,24.0,0.9479587,841,502,1122,502,1122,784,841,784
181727685.png,31.0,0.93331456,1084,59,1341,59,1341,291,1084,291
181727685.png,13.0,0.8941712,399,519,656,519,656,782,399,782
181727685.png,14.0,0.81862265,1084,59,1341,59,1341,292,1084,292
080328944.png,7.0,0.9729488,1204,503,1517,503,1517,824,1204,824
115631816.png,11.0,0.98695034,1115,125,1396,125,1396,456,1115,456
072616883.png,31.0,0.97607625,1115,130,1372,130,1372,375,1115,375
150722394.png,11.0,0.7279392,813,105,1030,105,1030,330,813,330
104521918.png,19.0,0.839863,1291,421,1576,421,1576,679,1291,679
091013790.png,16.0,0.89904696,1229,329,1534,329,1534,659,1229,659
091013790.png,17.0,0.8028298,1230,329,1534,329,1534,659,1230,659
175859391.png,5.0,0.9191876,414,488,679,488,679,748,414,748
175859391.png,28.0,0.80367124,933,616,1224,616,1224,908,933,908
175859391.png,30.0,0.7786927,696,64,929,64,929,289,696,289
175859391.png,17.0,0.7124524,933,619,1225,619,1225,938,933,938
175859391.png,31.0,0.70329976,696,64,931,64,931,289,696,289
084840949.png,12.0,0.9693056,1088,160,1342,160,1342,386,1088,386
140938071.png,6.0,0.96407306,702,0,954,0,954,187,702,187
094143325.png,19.0,0.9648117,791,462,1068,462,1068,721,791,721
094143325.png,22.0,0.8233108,295,176,534,176,534,446,295,446
121809184.png,6.0,0.9801051,1124,74,1387,74,1387,307,1124,307
160306469.png,15.0,0.93313706,751,63,1001,63,1001,282,751,282
094056018.png,16.0,0.9832387,771,225,1058,225,1058,534,771,534
131138020.png,22.0,0.9764199,1207,202,1435,202,1435,446,1207,446
181441056.png,18.0,0.96752965,881,519,1161,519,1161,779,881,779
100505559.png,25.0,0.9627251,1125,148,1388,148,1388,416,1125,416
171522901.png,14.0,0.8976977,671,24,906,24,906,189,671,189
